data.onset,imported.rt.mean,imported.rt.lower,imported.rt.upper
28/7/2020,0.027071732,0.005368127,0.099260803
29/7/2020,0.025999798,0.005342477,0.097807308
30/7/2020,0.025949071,0.005487141,0.100826735
31/7/2020,0.024611103,0.005782367,0.100349105
1/8/2020,0.021851289,0.006069586,0.095658718
2/8/2020,0.018596023,0.006416961,0.093000305
3/8/2020,0.016793024,0.006459256,0.08678893
4/8/2020,0.012526134,0.00684334,0.081713814
5/8/2020,0.01194119,0.006965713,0.085459608
6/8/2020,0.012173718,0.007572009,0.066317657
7/8/2020,0.012669239,0.008098005,0.067435439
8/8/2020,0.012911064,0.00852493,0.070343921
9/8/2020,0.013136838,0.009017635,0.052009992
10/8/2020,0.013452295,0.00978118,0.035974196
11/8/2020,0.013843201,0.010053126,0.03124753
12/8/2020,0.014125471,0.010485952,0.020031487
13/8/2020,0.014512148,0.010971515,0.020738486
14/8/2020,0.014981027,0.010398569,0.02170363
15/8/2020,0.014708692,0.010778978,0.020487544
16/8/2020,0.014562056,0.010607549,0.020506806
17/8/2020,0.014185525,0.010479796,0.02079542
18/8/2020,0.014235627,0.010154954,0.020199498
19/8/2020,0.013864329,0.010365708,0.019021604
20/8/2020,0.013461313,0.010263918,0.01889404
21/8/2020,0.013446688,0.009821688,0.019269
22/8/2020,0.013749166,0.010159546,0.019323036
23/8/2020,0.013573111,0.009749207,0.019441386
24/8/2020,0.013661621,0.009795602,0.019349077
25/8/2020,0.014158068,0.010347512,0.019832416
26/8/2020,0.014537542,0.010782909,0.020269581
27/8/2020,0.01461789,0.010029537,0.02099952
28/8/2020,0.015060693,0.010647644,0.021828244
29/8/2020,0.015549402,0.0106379,0.022495606
30/8/2020,0.016035215,0.011267267,0.022623816
31/8/2020,0.016453152,0.011627035,0.024005401
1/9/2020,0.017009809,0.011418157,0.023618993
2/9/2020,0.018008479,0.012869159,0.025431433
3/9/2020,0.018454044,0.01307567,0.02727901
4/9/2020,0.018667643,0.012804986,0.028159181
5/9/2020,0.018394917,0.012967786,0.028531512
6/9/2020,0.018965638,0.013031321,0.0290459
7/9/2020,0.018422886,0.013006221,0.029745097
8/9/2020,0.017871372,0.013044864,0.028402955
9/9/2020,0.017637907,0.012286292,0.026768827
10/9/2020,0.016629795,0.012497772,0.024131015
11/9/2020,0.015473127,0.011737792,0.024045868
12/9/2020,0.015035267,0.01107998,0.022539124
13/9/2020,0.014231382,0.010359347,0.021266347
14/9/2020,0.013438864,0.009674244,0.019523071
15/9/2020,0.012964904,0.009084579,0.01841559
16/9/2020,0.012208403,0.008828859,0.018202383
17/9/2020,0.011857554,0.008299007,0.017085566
18/9/2020,0.011194325,0.00815666,0.015359752
19/9/2020,0.010766419,0.007703726,0.015103903
20/9/2020,0.010384269,0.00736804,0.014889357
21/9/2020,0.010059419,0.007511554,0.014073252
22/9/2020,0.00995834,0.006768439,0.013470235
23/9/2020,0.009788102,0.006902401,0.013952664
24/9/2020,0.009691936,0.006755125,0.013296045
25/9/2020,0.009917358,0.007292855,0.013709904
26/9/2020,0.010061336,0.007063006,0.013196449
27/9/2020,0.010299583,0.007370747,0.013796022
28/9/2020,0.010182726,0.007807646,0.014165738
29/9/2020,0.010366148,0.007617367,0.015814592
30/9/2020,0.010627951,0.007523271,0.014684135
