"local.rt.mean","local.rt.lower","local.rt.upper","date"
1.151795949,1.034956027,1.33890321,"24/07/2020"
1.07705379,0.98033589,1.226590316,"25/07/2020"
0.998600728,0.9137304,1.123258199,"26/07/2020"
0.921657709,0.860004305,1.026790097,"27/07/2020"
0.855088895,0.804598325,0.940552014,"28/07/2020"
0.794832628,0.753195528,0.861918477,"29/07/2020"
0.746458738,0.696952491,0.797899375,"30/07/2020"
0.703438834,0.649972895,0.752023344,"31/07/2020"
0.672979221,0.614911683,0.726901707,"01/08/2020"
0.654965807,0.593540526,0.713315681,"02/08/2020"
0.644709198,0.580327024,0.712695873,"03/08/2020"
0.638560739,0.563116497,0.706271218,"04/08/2020"
0.633865133,0.554828918,0.709051942,"05/08/2020"
0.624716965,0.542367546,0.708360443,"06/08/2020"
0.620130366,0.530729907,0.708552781,"07/08/2020"
0.613457986,0.524963558,0.706244819,"08/08/2020"
0.60869378,0.517888726,0.709367568,"09/08/2020"
0.607244425,0.51300479,0.708188793,"10/08/2020"
0.607920849,0.499843786,0.710138341,"11/08/2020"
0.603998218,0.486629944,0.709642508,"12/08/2020"
0.595546556,0.47054462,0.707200409,"13/08/2020"
0.583658204,0.456779702,0.694148675,"14/08/2020"
0.564674017,0.450830435,0.669107869,"15/08/2020"
0.544165067,0.428539127,0.641357065,"16/08/2020"
0.516429228,0.403685516,0.618261055,"17/08/2020"
0.491296708,0.383091552,0.593465459,"18/08/2020"
0.470351179,0.363735595,0.567989608,"19/08/2020"
0.447204863,0.340823951,0.554386139,"20/08/2020"
0.434358164,0.327843999,0.552624512,"21/08/2020"
0.433331066,0.326384025,0.552889559,"22/08/2020"
0.436146532,0.332724118,0.571894887,"23/08/2020"
0.443411105,0.32336097,0.595484296,"24/08/2020"
0.457488312,0.321843078,0.612203933,"25/08/2020"
0.469731939,0.327705851,0.639334863,"26/08/2020"
0.486411834,0.340179933,0.6666298,"27/08/2020"
0.505260679,0.350592831,0.670451351,"28/08/2020"
0.551267187,0.397630885,0.714883154,"29/08/2020"
0.558930819,0.379652106,0.76509058,"30/08/2020"
0.553749926,0.364449439,0.767274523,"31/08/2020"
0.588081216,0.424091868,0.760193003,"01/09/2020"
0.594151453,0.446789718,0.772919517,"02/09/2020"
0.601387766,0.466396143,0.779728578,"03/09/2020"
0.605786723,0.460814317,0.774303847,"04/09/2020"
0.593138561,0.445623324,0.755676461,"05/09/2020"
0.584890403,0.444587334,0.773412406,"06/09/2020"
0.585445868,0.440712761,0.78926059,"07/09/2020"
0.590116326,0.436299632,0.794921334,"08/09/2020"
0.605619662,0.444980221,0.80102045,"09/09/2020"
0.605953359,0.43290495,0.80685637,"10/09/2020"
0.591617507,0.428412387,0.806672726,"11/09/2020"
0.57742512,0.423690906,0.800805954,"12/09/2020"
0.561152164,0.399634092,0.769301949,"13/09/2020"
0.539139278,0.381174477,0.732312808,"14/09/2020"
0.523237303,0.378308,0.721478732,"15/09/2020"
0.51395288,0.327875158,0.689900292,"16/09/2020"
0.536450688,0.325462972,0.714987014,"17/09/2020"
0.54345661,0.307975938,0.730030272,"18/09/2020"
0.540675613,0.312933047,0.744161871,"19/09/2020"
0.536690936,0.350372224,0.762435176,"20/09/2020"
0.532609235,0.343533911,0.77666301,"21/09/2020"
0.539604684,0.352344274,0.795468643,"22/09/2020"
0.579053253,0.358865535,0.807485972,"23/09/2020"
0.602798958,0.363036717,0.848624952,"24/09/2020"
0.65069831,0.400943823,0.920159856,"25/09/2020"
0.749040513,0.472699149,1.05245112,"26/09/2020"
0.861953667,0.577869523,1.230189002,"27/09/2020"
1.00196086,0.70887992,1.37773729,"28/09/2020"
1.144700116,0.828971083,1.547973392,"29/09/2020"
1.253057698,0.952301708,1.711579757,"30/09/2020"
1.402041463,1.024209697,1.79746958,"01/10/2020"
1.471484401,1.083283502,1.812434415,"02/10/2020"
1.450332188,1.125149695,1.772309073,"03/10/2020"
1.372026028,1.090116857,1.709759481,"04/10/2020"
1.239848588,0.97071068,1.562463858,"05/10/2020"
1.084242875,0.842893974,1.335348182,"06/10/2020"
0.939477327,0.737166059,1.217049971,"07/10/2020"
0.774492535,0.592519305,0.967309779,"08/10/2020"
0.622057374,0.439276023,0.788972387,"09/10/2020"
0.484347546,0.332112393,0.64313267,"10/10/2020"
0.372476679,0.220590219,0.531351193,"11/10/2020"
0.318025324,0.161398941,0.456883902,"12/10/2020"
0.293049887,0.109579595,0.410210175,"13/10/2020"
0.303396905,0.083501067,0.449118923,"14/10/2020"
0.31632705,0.043001628,0.495589551,"15/10/2020"
0.329931354,0.032373916,0.538233806,"16/10/2020"
0.333670266,0.035959671,0.556285876,"17/10/2020"
0.347565723,0.040480107,0.562916355,"18/10/2020"
0.331778346,0.042839711,0.618744567,"19/10/2020"
0.319605886,0.047005106,0.659614368,"20/10/2020"
0.307794884,0.059181477,0.716106928,"21/10/2020"
0.321039683,0.056104643,0.769415776,"22/10/2020"
0.365535558,0.078959766,0.797248545,"23/10/2020"
0.466487365,0.131823631,0.948165833,"24/10/2020"
0.604307929,0.234277773,1.161029072,"25/10/2020"
0.772524554,0.326068194,1.333096386,"26/10/2020"
0.961036195,0.441567077,1.608449073,"27/10/2020"
1.097558526,0.639629253,1.791463115,"28/10/2020"
1.157997037,0.734253903,1.769682332,"29/10/2020"
1.155160119,0.787865772,1.706532871,"30/10/2020"
1.140981938,0.769500892,1.654277505,"31/10/2020"
1.129829461,0.778460275,1.637398058,"01/11/2020"
1.141330134,0.832671853,1.631220604,"02/11/2020"
1.177655962,0.835588864,1.666335674,"03/11/2020"
1.259480853,0.88750694,1.801216063,"04/11/2020"
1.40431581,1.007173856,1.976582743,"05/11/2020"
1.588761642,1.204900394,2.29179082,"06/11/2020"
